,Country
0,Isle of Man
1,Turkmenistan
2,"Macao SAR, China"
3,Benin
4,Chile
5,Belgium
6,Cayman Islands
7,Sao Tome and Principe
8,Maldives
9,Antigua and Barbuda
10,Bahrain
11,Bermuda
12,Jamaica
13,Gambia
14,Syrian Arab Republic
15,Yemen
16,San Marino
17,French Polynesia
18,North Korea
19,Democratic Republic Of Congo
20,Azerbaijan
21,Tuvalu
22,Eritrea
23,Honduras
24,British Virgin Islands
25,Cuba
26,Hungary
27,Paraguay
28,Jordan
29,Nigeria
30,Libya
31,Australia
32,New Caledonia
33,Oman
34,West Bank and Gaza
35,Solomon Islands
36,Cote d'Ivoire
37,Ecuador
38,Virgin Islands (U.S.)
39,Cameroon
40,Comoros
41,Spain
42,Belize
43,Malta
44,Panama
45,Republic Of Congo
46,Turks and Caicos Islands
47,Cambodia
48,Monaco
49,Armenia
50,Guam
51,St. Lucia
52,India
53,Somalia
54,Pakistan
55,Brunei
56,Dominica
57,UK
58,Afghanistan
59,Mongolia
60,Slovak Republic
61,Morocco
62,South Africa
63,Botswana
64,St. Martin (French part)
65,Saudi Arabia
66,Bangladesh
67,Nepal
68,Malaysia
69,Kyrgyz Republic
70,Sri Lanka
71,Mexico
72,Moldova
73,Guatemala
74,Russia
75,Latvia
76,Germany
77,Djibouti
78,Suriname
79,Mauritius
80,Mali
81,Costa Rica
82,Indonesia
83,Fiji
84,Rwanda
85,South Sudan
86,Lao PDR
87,Puerto Rico
88,Japan
89,Bolivia
90,Philippines
91,Luxembourg
92,Cabo Verde
93,Papua New Guinea
94,Senegal
95,Norway
96,Lesotho
97,Denmark
98,Kuwait
99,Vanuatu
100,Zambia
101,Brazil
102,Trinidad and Tobago
103,Uganda
104,"Hong Kong SAR, China"
105,Czech Republic
106,Central African Republic
107,USA
108,Uruguay
109,Madagascar
110,"Macedonia, FYR"
111,Haiti
112,Equatorial Guinea
113,Liberia
114,Barbados
115,"Iran, Islamic Rep."
116,Dominican Republic
117,Singapore
118,Peru
119,Guinea
120,Palau
121,Gibraltar
122,Seychelles
123,Iraq
124,Kenya
125,Romania
126,Cyprus
127,Mauritania
128,Netherlands
129,France
130,Timor-Leste
131,American Samoa
132,Chad
133,Ireland
134,Ghana
135,Colombia
136,Thailand
137,Uzbekistan
138,Myanmar
139,St. Vincent and the Grenadines
140,Burkina Faso
141,Faroe Islands
142,Greenland
143,Bosnia and Herzegovina
144,Kazakhstan
145,Nicaragua
146,China
147,Liechtenstein
148,Poland
149,Switzerland
150,"Korea, Rep."
151,Argentina
152,Eswatini
153,Tanzania
154,"Venezuela, RB"
155,Israel
156,Bhutan
157,Zimbabwe
158,Andorra
159,Egypt
160,St. Kitts and Nevis
161,Samoa
162,Portugal
163,Sudan
164,Canada
165,New Zealand
166,Sierra Leone
167,Guinea-Bissau
168,UAE
169,Togo
170,Gabon
171,Bulgaria
172,Iceland
173,Curacao
174,Qatar
175,Tunisia
176,Ethiopia
177,"Micronesia, Fed. Sts."
178,Guyana
179,Sint Maarten (Dutch part)
180,Tonga
181,El Salvador
182,Finland
183,Burundi
184,Italy
185,Niger
186,Greece
187,Angola
188,Aruba
189,Estonia
190,Grenada
191,Kiribati
192,Lithuania
193,Belarus
194,Lebanon
195,Croatia
196,Mozambique
197,Georgia
198,Tajikistan
199,Serbia
200,Kosovo
201,Namibia
202,Nauru
203,Malawi
204,Montenegro
205,Algeria
206,"Bahamas, The"
207,Sweden
208,Austria
209,Ukraine
210,Albania
211,Marshall Islands
212,Northern Mariana Islands
213,Vietnam
214,Turkey
215,Slovenia
